FlowNo,FirstSentTime,LastReceivedTime,FromIP,ToIP,SendToPort,ReceivedFromPort,SentFrameSize,ReceivedFrameSize,SentData,ReceivedData,Protocol,TransactionTime,HasSubFlow,isAbnormal
816,2019-3-8 16:17:4.635769,2019-3-8 16:17:4.737805,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,102.0,false,false
815,2019-3-8 16:17:4.635743,2019-3-8 16:17:4.743626,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,107.0,false,false
787,2019-3-8 16:16:57.904446,2019-3-8 16:17:4.801389,192.168.2.238,192.168.2.174,3610,3610,60,57,10:81:42:28:0e:f0:01:01:30:01:62:01:80:00,10:81:42:28:01:30:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,6897.0,false,false
822,2019-3-8 16:17:5.636052,2019-3-8 16:17:5.694221,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,58.0,false,false
820,2019-3-8 16:17:5.635988,2019-3-8 16:17:5.725233,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,89.0,false,false
819,2019-3-8 16:17:5.635963,2019-3-8 16:17:5.734245,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,98.0,false,false
821,2019-3-8 16:17:5.636006,2019-3-8 16:17:5.744081,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,108.0,false,false
826,2019-3-8 16:17:6.636292,2019-3-8 16:17:6.684185,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,47.0,false,false
824,2019-3-8 16:17:6.636240,2019-3-8 16:17:6.712829,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,76.0,false,false
823,2019-3-8 16:17:6.636215,2019-3-8 16:17:6.724470,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,88.0,false,false
825,2019-3-8 16:17:6.636259,2019-3-8 16:17:6.732181,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,95.0,false,false
830,2019-3-8 16:17:7.636616,2019-3-8 16:17:7.675171,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,38.0,false,false
828,2019-3-8 16:17:7.636536,2019-3-8 16:17:7.700702,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,64.0,false,false
827,2019-3-8 16:17:7.636511,2019-3-8 16:17:7.713645,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,77.0,false,false
829,2019-3-8 16:17:7.636571,2019-3-8 16:17:7.719662,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,83.0,false,false
841,2019-3-8 16:17:7.915670,2019-3-8 16:17:7.979020,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:43:32:0e:f0:01:05:fd:01:62:01:80:00,10:81:43:32:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,63.0,false,false
838,2019-3-8 16:17:7.915514,2019-3-8 16:17:7.979776,192.168.2.238,192.168.2.108,3610,3610,60,58,10:81:43:1e:0e:f0:01:00:11:01:62:01:e0:00,10:81:43:1e:00:11:01:0e:f0:01:72:01:e0:02:00:fa,eth:ethertype:ip:udp:data,64.0,false,false
843,2019-3-8 16:17:7.915791,2019-3-8 16:17:7.983187,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:43:46:0e:f0:01:05:fd:01:62:01:80:00,10:81:43:46:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,67.0,false,false
831,2019-3-8 16:17:7.915086,2019-3-8 16:17:7.990963,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:02:56:0e:f0:01:02:87:01:62:01:d2:00,10:81:02:56:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,75.0,false,false
842,2019-3-8 16:17:7.915736,2019-3-8 16:17:8.15675,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:43:3c:0e:f0:01:05:fd:01:62:01:80:00,10:81:43:3c:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,100.0,false,false
835,2019-3-8 16:17:7.915348,2019-3-8 16:17:8.23519,192.168.2.238,192.168.2.145,3610,3610,60,58,10:81:43:14:0e:f0:01:00:1f:01:62:01:e0:00,10:81:43:14:00:1f:01:0e:f0:01:72:01:e0:02:01:36,eth:ethertype:ip:udp:data,109.0,false,false
836,2019-3-8 16:17:7.915404,2019-3-8 16:17:8.82437,192.168.2.238,192.168.2.145,3610,3610,60,58,10:81:43:15:0e:f0:01:00:11:01:62:01:e0:00,10:81:43:15:00:11:01:0e:f0:01:72:01:e0:02:00:4e,eth:ethertype:ip:udp:data,168.0,false,false
839,2019-3-8 16:17:7.915569,2019-3-8 16:17:8.90294,192.168.2.238,192.168.2.108,3610,3610,60,57,10:81:43:1f:0e:f0:01:00:12:01:62:01:e0:00,10:81:43:1f:00:12:01:0e:f0:01:72:01:e0:01:1c,eth:ethertype:ip:udp:data,175.0,false,false
832,2019-3-8 16:17:7.915172,2019-3-8 16:17:8.129274,192.168.2.238,192.168.2.202,3610,3610,60,58,10:81:43:0a:0e:f0:01:00:1f:01:62:01:e0:00,10:81:43:0a:00:1f:01:0e:f0:01:72:01:e0:02:00:06,eth:ethertype:ip:udp:data,215.0,false,false
837,2019-3-8 16:17:7.915457,2019-3-8 16:17:8.141380,192.168.2.238,192.168.2.145,3610,3610,60,57,10:81:43:16:0e:f0:01:00:12:01:62:01:e0:00,10:81:43:16:00:12:01:0e:f0:01:72:01:e0:01:38,eth:ethertype:ip:udp:data,226.0,false,false
